fullname,raceChar,pleaSuccess,n,prop
Connolly John S.,White,0,20,0.18691588785046728
Connolly John S.,White,1,87,0.8130841121495327
Conroy Lois R.,Non-white,0,131,0.27872340425531916
Conroy Lois R.,Non-white,1,339,0.7212765957446808
Conroy Lois R.,White,0,53,0.1962962962962963
Conroy Lois R.,White,1,217,0.8037037037037037
Cork Jamie L.,Non-white,0,18,0.20454545454545456
Cork Jamie L.,Non-white,1,70,0.7954545454545454
Cork Jamie L.,White,0,24,0.1935483870967742
Cork Jamie L.,White,1,100,0.8064516129032258
Crump Harry Seymour,Non-white,0,30,0.37037037037037035
Crump Harry Seymour,Non-white,1,51,0.6296296296296297
Crump Harry Seymour,White,0,12,0.3870967741935484
Crump Harry Seymour,White,1,19,0.6129032258064516
Cunningham James A.,Non-white,0,29,0.15934065934065933
Cunningham James A.,Non-white,1,153,0.8406593406593407
Cunningham James A.,White,0,54,0.13846153846153847
Cunningham James A.,White,1,336,0.8615384615384616
Cutter Elizabeth V.,Non-white,0,146,0.40331491712707185
Cutter Elizabeth V.,Non-white,1,216,0.5966850828729282
Cutter Elizabeth V.,White,0,45,0.2616279069767442
Cutter Elizabeth V.,White,1,127,0.7383720930232558
Cuzzo Michael J.,Non-white,0,9,0.140625
Cuzzo Michael J.,Non-white,1,55,0.859375
Cuzzo Michael J.,White,0,28,0.12389380530973451
Cuzzo Michael J.,White,1,198,0.8761061946902655
Daily Christa M.,Non-white,0,30,0.44776119402985076
